questions,answers
asking manure fertilizer dose term per bigha land pea crop cultivation,"5, 38 and 100 kilo grams of urea, single super phosphate and farm yard manures respectively have been suggested as the manures and fertilizers dose in terms of per bigha of land for pea crop cultivation."
asking manure fertilizer dose term per bigha land mustard crop cultivation,"18, 27, 3 kilo grams of urea, single super phosphate, muriate of potash respectively have been suggested as the manures and fertilizers dose in terms of per bigha of land for potato crop cultivation."
asked precautionary measure carp disease,answered in details.
asking variety name cauliflower,"suggested to grow variety like-improved japanese,pusa synthetic,pusa snowball,himani etc."
asking treatment worm infestaion cow,suggested to administer panacur 1.5 gm bolus @ 1 bolus /300 kg body weight.along with that admininister liv-52 vet @ 25 ml twice daily.
asking treatment bloat cow,suggested to administer afanil liq. @ 100 ml at a time and repeat the same dose after 6 hours.
asking fertilizer dos applied 1st year stage arecanut tree along procedure application,"66,93,83 and 2500 grams of urea, ssp, mop and fym have been suggested to apply in two equal split doses along with 25 grams of borax per application. to be applied once in march-april & the other part in sep-oct in the trench method of application."
asking boro variety name rice suitable recommebded cultivation zone,"boro-1, boro-2, mashuri, ir-50, joymati, bishnuprasad and jyotiprasad variety names has been suggested for cultivation as boro rice in his zone."
asking control measure root rot mustard,soil drenching with bavistin solution @ 2 grams per 1 litre of water has been suggested.
asking control measure root rot cauliflower,soildrenching at the root region with 'captaf' or 'bavistin' solution @ 2 gram per 1 litre of water has been suggested.
asking control measure bacterial wilt disease tomato,suggested to apply streptocyclin @ 200 miligram / litre of water
asked know carp culture,gave him in detail.
asking cultivation practice banana,given in details about the production practices of banana.
asking control algal growth pond fungal disease,given him in details on how to control the fungal disease by using kmno4 2gm/l as dip bath treatment and also suggested him to use v5 @ 1 kg of v5 in 20 litre of water.
asking control measure bacterial wilt disease tomato,suggested to apply streptocyclin @ 200 miligram / litre of water at 15 days interval.
asking source good breed goat farming,suggested to contact with byrnihut goat research station for good breed goat
asking manure fertilizer dos seed bed 10 metre length 125 metre width raise seedling boro rice,"20-30  kilo gram of cowdung/compost, 40 grams of urea, 80 grams of single super phosphate and 40 grams of muriate of potash are to be applied and mixed well with the soil has been replied as the manures and fertilizer doses for a seed bed of 10 metre in length & 1.25 metre in width to raise seedlings of boro rice."
asking name phone number krishi vigyan kendra nagaon district,"03672- 221109 & 225384 and the mobile number 94351-62356 of dr. tulsi prasad saikia have been provided as the the name and phone numbers of krishi vigyan kendra, nagaon district."
asking control measure early blight disease tomato,suggested to apply mancozeb @ 2 gram / litre of water.
asking source information pure goat breed,"suggested to contact the farm manager ,goat research frm,burnihat."
asking control measure anthracnose disease capsicum,suggested to apply blitox-50 @ 2 gram / litre of water
asking control measure cabbage looper attack cabbage,suggested to spray quinalphos 25 ec @ 2 mililitre / litre of water followed by waiting period for 5-7 days.
asking control measure leaf curl disease chilli,suggested to spray rogor 35 ec @  2 mililitre/ litre of water followed by waiting period for 5-7 days.
asking control measure root rot pea,soil drenching with 'bavistin' solution @ 2 gram per 1 litre of water has been suggested to apply.
asking control measure earhead cutting caterpillar paddy field,suggested to spray chlorpyriphos 20 ec @  2 mililitre / litre water.
asking cultivation practice cabbage,given in details about the cultivation practices.
asked avail kcc loan,answered him inm details.
asking control measure root rot cauliflower,'bavistin' solution @ 2 gram per 1 litre of waer ahs been suggested to apply at the root region of the standing crops as the control measure against root rot in cauliflower.
asking control measure leaf curl chilli,'rogor 35 ec' solution @ 1.5 milli litres per 1 litre of water has been suggested to spray on the crop.
asking age castration period goat,suggested to the age of castration period of a goat is 2-3 month of age.
asking control fungal witl brinjal,suggested to spray captaf 0.3%
asked carp variety suitable culture assam condition,"advised him to raise rahu,catla,mrigal along with three exotic carp like common carp,grass carp and silver carp."
asking control measure blast spot seedling raised cultivate boro rice,'carbendazim' solution @ 1 gram per 1 litre of water or 'ediphenphos' solution @ 1 milli litre per 1 litre of water has been suggested to spray on the seedlings as the control measure against blast spots in the seedlings raised to cultivate as boro rice.
asking control measure cabbage looper attack cabbage,suggested to spray rogor 35 ec @ 2 mililitre / litre of water.
asking control dropping chilli,suggested to srpay green harvest @ 2gm/lit water.
asking control measure sawfly mustard,recommended to spray dimethoate 30 ec solution 0.5ml/lit water
asking crop boostervit,suggested to spray green harvest @ 25gm/10lits of water during flowering satage along with apply borax @ 7.5 kg/ha.
asking control measure saw fly,suggested to spray deltametrin 2.8 ec @ 0.4 lit/ha in 550lits of water
asking control measure late blight disease attack potato,suggested to apply mancozeb @ 2 gram / litre of water.
fertilizer dose boro rice,recommended use n:p:k. @ 29:50:13 respectively and explained the apllication in doses dose.
asking source information pure goat breed varities,"suggested to contact the farm manager,goat research farm ,burnihat."
asking measure higher production,suggested to spray green harvest @ 2gm/lit at 20 & 35 days from 35days from germination.
aksed fish cum paultry culture package practice,given in detail.
asking recommended fertilizer dose boro rice irrigated condition,"suggested that the recommended fertilizer dose is like-urea @18 kilogram / bigha,ssp @ 27 kilogram / bigha,mop @ 6 kilogram / bigha."
asking control measure flower drop bottle gourd,'borax' solution @ 2 grams per 1 litre of water has been suggested to spray at the base of the vines nd around.
asking control measure fungal ilt brinjal,suggested to spray captan @ 3gm/lit water till the soil gets wet.
asking variety ridge gound,"recommended varieties like aauj-1, aauj-2, aauj-3 ."
asking krishi vigyan kendra nagaon district located,village shillongani has been replied as the location of kvk address of nagaon district.
asking manure abd fertlizers dose requirement term per bigha land okra crop cultivation,"14, 41, 11 and 200 kilo grams of urea, ssp, mop and fym respectively has been suggested as  the manures abd fertlizers dose requirements in terms of per bigha of land for okra crop  cultivation."
asking control cut worm infestation potato,suggested to spray thimet @2kg/lit 0r malathion 5% 6kg/bigha at the time of first earthing up in potato
aksed composite culture practice,given in detail about the composite culture practices
asking hybrid variety okra,recommended varieties like tyaids no. 10 and axplained in details about the package of practice.
asking variety name musk melon suitable recommended cultivation,"pusa sarbati,hara madhu, punjab suneheri, durgapur madhu, arka rajhansh, arka jeet have been replied as some variety names of musk melon suitable and recommended for cultivation."
asking recommended fertilizer dose boro rice irrigated condition,"suggested that the recommended fetilizer dose is like-urea@ 18 kilogram / bigha,ssp @ 27 kilogram / bigha,mop @ 6 kilogram / bigha,fym @ 2-3 quintal / bigha."
